Country,CountryCode,2014,2015,2016,2017,2018
Mauritius,MUS,0.156539255,0.180168971,0.187889951,0.178592739,0.164082477
Malawi,MWI,0.8177259,0.634365246,0.640353409,0.762728731,0.846126938
Malaysia,MYS,1.455114683,1.528863122,1.406365715,1.116540552,0.984001501
North America,NAC,3.248885664,3.10519348,3.053256528,2.967516918,3.015552989
Namibia,NAM,4.203429614,4.478425806,3.889110829,3.554522767,3.349633191
Niger,NER,1.769085738,,2.21993574,2.47355475,2.452849285
Nigeria,NGA,0.414718775,0.417636537,0.43294778,0.430671214,0.506584948
Nicaragua,NIC,0.685091959,0.776083434,0.64257922,0.623063234,0.608427606
Netherlands,NLD,1.159687891,1.132711505,1.163626918,1.158526989,1.241607108
Norway,NOR,1.469301626,1.503920957,1.615653019,1.617823782,1.608669092
Nepal,NPL,1.629341062,1.563735775,1.704280317,1.605499717,1.442800621
New Zealand,NZL,1.177965701,1.14918881,1.17914952,1.20846329,1.161388402
OECD members,OED,2.171927458,2.168753523,2.141955725,2.108572991,2.130934704
Oman,OMN,10.13592233,10.78814762,11.97098389,9.559805599,8.171299501
Pakistan,PAK,3.47657944,3.551387243,3.59141084,3.766192107,4.025735629
Panama,PAN,0,0,0,0,0
Peru,PER,1.584863398,1.722036076,1.299739519,1.242135301,1.1871449
Philippines,PHL,1.090406546,1.139292372,1.429374259,1.197535353,1.129324061
Papua New Guinea,PNG,0.48851133,0.474057682,0.391135502,0.335833431,0.271533184
Poland,POL,1.89686404,2.138456684,1.940936386,1.895983869,1.97769196
Pre-demographic dividend,PRE,1.678962649,1.905944544,1.644104118,1.829992407,1.41084516
Portugal,PRT,1.790511278,1.787974411,1.73063717,1.669976921,1.779529359
Paraguay,PRY,0.989089185,1.068847829,0.951883545,0.893948254,0.930582685
Post-demographic dividend,PST,2.219221948,2.216405588,2.190462359,2.158310431,2.175770323
Romania,ROU,1.348240873,1.450628259,1.403411736,1.719540549,1.934209074
Russian Federation,RUS,4.104182213,4.862758102,5.45240651,4.23340737,3.929511089
Rwanda,RWA,1.134412733,1.25363499,1.28343155,1.27516194,1.231819855
South Asia,SAS,2.489154267,2.431239069,2.498171494,2.513793525,2.451078018
Saudi Arabia,SAU,10.6779063,13.32567233,9.87273833,10.25135635,8.774719127
Sudan,SDN,,2.796115771,2.955305417,3.910878363,2.278301873
Senegal,SEN,1.567196706,1.572173142,2.072505459,1.886341368,1.854329752
Singapore,SGP,3.080259059,3.085850195,3.188247946,3.154878282,3.143632416
Sierra Leone,SLE,0.973262106,0.923453252,1.136986218,1.114004325,0.797631763
El Salvador,SLV,1.035604609,1.069238018,1.035453406,1.051785415,1.030575415
Serbia,SRB,2.065939697,1.948723252,1.854184543,1.959355883,1.906136034
Sub-Saharan Africa (excluding high income),SSA,1.349085548,1.30213723,1.274768607,1.343881635,1.102714319
South Sudan,SSD,8.619559859,10.56146145,4.598274159,2.352869367,1.329208333
Sub-Saharan Africa,SSF,1.349918259,1.302302296,1.275321799,1.344006187,1.10303914
Slovak Republic,SVK,0.988332044,1.123350706,1.116636526,1.101933258,1.205238214
Slovenia,SVN,0.974542395,0.929863358,1.006427047,0.982047347,0.974192235
Sweden,SWE,1.141254908,1.081459835,1.060107897,1.033501722,1.042914441
Eswatini,SWZ,1.810893137,1.687060477,1.725586231,1.796563252,1.500061949
Seychelles,SYC,2.4272298,1.4970374,1.87005484,1.480933416,1.444219695
Chad,TCD,2.806513955,2.018821854,3.068475119,2.238589427,2.129559538
East Asia & Pacific (IDA & IBRD countries),TEA,1.789843003,1.813037642,1.821249639,1.78054886,1.749066479
Europe & Central Asia (IDA & IBRD countries),TEC,2.889992277,3.085827379,3.273928786,2.880243688,2.908404143
Togo,TGO,1.804269525,1.681081985,1.851219404,1.885580231,1.97291956
Thailand,THA,1.409466288,1.433947823,1.443804525,1.368560935,1.327513356
Tajikistan,TJK,1.128380097,1.219381177,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1.265465075,1.249877832,1.203982665,1.230045718,1.255032925
Timor-Leste,TLS,0.732904503,1.191341908,0.969826028,0.855011484,0.609203396
Middle East & North Africa (IDA & IBRD countries),TMN,3.350232066,3.432380824,3.254700618,3.378245209,3.075447354
South Asia (IDA & IBRD),TSA,2.489154267,2.431239069,2.498171494,2.513793525,2.451078018
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.349918259,1.302302296,1.275321799,1.344006187,1.10303914
Trinidad and Tobago,TTO,0.721601178,0.857870706,1.022021439,0.952965496,0.778172699
Tunisia,TUN,1.908775839,2.269650658,2.345882747,2.130721752,2.089830757
Turkey,TUR,1.902457774,1.847055744,2.067542609,2.068141475,2.504356609
Tanzania,TZA,1.052520912,1.133236064,1.142135254,1.179376785,1.211863513
Uganda,UGA,1.165222366,1.214494478,1.257924102,1.293593376,1.425005898
Ukraine,UKR,3.0211448,3.973258827,3.668617869,3.2414929,3.782802953
Upper middle income,UMC,1.997414342,2.022625921,2.04296518,1.965144168,1.91315471
Uruguay,URY,1.807429456,1.820588136,1.883038154,1.978552386,1.950774077
United States,USA,3.480897196,3.271831264,3.207892169,3.109010405,3.16286488
Uzbekistan,UZB,,,,,3.555482552
"Venezuela, RB",VEN,1.16181681,0.941375969,0.454046014,0.487844145,
Vietnam,VNM,2.285507647,2.361155697,2.442960759,2.267969555,2.299457428
World,WLD,2.241037219,2.245183735,2.202533929,2.161438046,2.140292513
Kosovo,XKX,0.725311468,0.776154026,0.773671256,0.795724206,0.795344789
"Yemen, Rep.",YEM,3.966891088,,,,
South Africa,ZAF,1.109437883,1.099182075,1.075529552,1.043663396,0.981709721
Zambia,ZMB,1.633868492,1.753234112,1.424504358,1.305199751,1.400950059
Zimbabwe,ZWE,2.324733963,2.343629225,2.220728409,1.930134147,2.169606363
